Player,position_clean,Age,KTC Value,multi_year_prod_score,combined_score,avg_ppg,n_seasons,tier,tier_rank
Greg Dulcich,TE,26.3,2000,4926.3,2877.9,7.904999732971191,2.0,Unclassified,99
Deebo Samuel,WR,30.4,1992,6307.2,3286.6,13.345601081848145,4.0,Unclassified,99
Aaron Rodgers,QB,42.6,1981,6020.6,3192.9,14.85686206817627,3.0,Unclassified,99
Ray Davis,RB,26.6,1980,2419.3,2111.8,5.654048442840576,2.0,Unclassified,99
Cole Kmet,TE,27.3,1979,6304.7,3276.7,10.116825103759766,4.0,Unclassified,99
Isaiah Bond,WR,22.3,1975,2075.5,2005.2,4.391666889190674,1.0,Unclassified,99
Will Howard,QB,24.8,1946,583.8,1537.3,0.0,0.0,Unclassified,99
Demario Douglas,WR,25.6,1942,3663.1,2458.3,7.750767230987549,3.0,Unclassified,99
Christian Kirk,WR,29.6,1940,5785.2,3093.6,12.240921020507812,4.0,Unclassified,99
Dont'e Thornton,WR,23.6,1927,1586.6,1824.9,3.357142925262451,1.0,Unclassified,99
Kevin Coleman,WR,22.8,1926,577.8,1521.5,0.0,0.0,Unclassified,99
Xavier Legette,WR,25.4,1914,3405.9,2361.6,7.206666946411133,2.0,Unclassified,99
Demond Claiborne,RB,,1907,572.1,1506.5,0.0,0.0,Unclassified,99
Kirk Cousins,QB,37.9,1897,7076.0,3450.7,17.46120262145996,4.0,Unclassified,99
Darnell Washington,TE,24.9,1891,2408.8,2046.3,3.865262746810913,3.0,Unclassified,99
Calvin Ridley,WR,31.5,1877,5022.4,2820.6,10.626890182495117,3.0,Unclassified,99
Tyreek Hill,WR,32.3,1871,8800.2,3949.8,18.620479583740234,3.0,Unclassified,99
Drew Allar,QB,,1868,560.4,1475.7,0.0,0.0,Unclassified,99
Colby Parkinson,TE,27.5,1865,4257.0,2582.6,6.830992221832275,4.0,Unclassified,99
Cade Klubnik,QB,,1856,556.8,1466.2,0.0,0.0,Unclassified,99
Ryan Flournoy,WR,26.7,1836,3040.4,2197.3,6.433333396911621,2.0,Unclassified,99
Kaelon Black,RB,,1820,546.0,1437.8,0.0,0.0,Unclassified,99
Evan Engram,TE,31.8,1818,7173.3,3424.6,11.510685920715332,4.0,Unclassified,99
Jalen Royals,WR,23.4,1805,541.5,1426.0,0.0,0.0,Unclassified,99
Isaiah Davis,RB,24.4,1799,2148.6,1903.9,5.02142858505249,2.0,Unclassified,99
Tyquan Thornton,WR,25.9,1797,2760.8,2086.1,5.841667175292969,3.0,Unclassified,99
Luke Musgrave,TE,25.8,1788,3385.6,2267.3,5.432692527770996,2.0,Unclassified,99
Kendre Miller,RB,24.0,1786,2252.5,1926.0,5.264285564422607,3.0,Unclassified,99
Jalen Tolbert,WR,27.3,1783,3326.8,2246.1,7.0391669273376465,3.0,Unclassified,99
Justin Joly,TE,,1764,529.2,1393.6,0.0,0.0,Unclassified,99
Ben Sinnott,TE,24.0,1760,2212.3,1895.7,3.549999952316284,1.0,Unclassified,99
James Conner,RB,31.2,1756,6651.8,3224.7,15.545832633972168,3.0,Unclassified,99
Brashard Smith,RB,23.2,1752,1805.7,1768.1,4.21999979019165,1.0,Unclassified,99
Cedric Tillman,WR,26.2,1751,3148.7,2170.3,6.66234827041626,3.0,Unclassified,99
Quinn Ewers,QB,23.1,1729,518.7,1365.9,0.0,0.0,Unclassified,99
Cooper Kupp,WR,33.0,1724,7924.1,3584.0,16.76666831970215,4.0,Unclassified,99
Riley Leonard,QB,23.8,1720,516.0,1358.8,0.0,0.0,Unclassified,99
Joe Milton,QB,26.3,1701,510.3,1343.8,0.0,0.0,Unclassified,99
Jarquez Hunter,RB,23.5,1697,509.1,1340.6,0.0,0.0,Unclassified,99
Dawson Knox,TE,29.6,1684,4517.3,2534.0,7.248610973358154,4.0,Unclassified,99
Savion Williams,WR,24.6,1674,1344.3,1575.1,2.844444513320923,1.0,Unclassified,99
Oscar Delp,TE,22.9,1672,501.6,1320.9,0.0,0.0,Unclassified,99
Tahj Brooks,RB,24.1,1668,456.4,1304.5,1.0666667222976685,1.0,Unclassified,99
Luke McCaffrey,WR,25.2,1653,2689.2,1963.9,5.690151214599609,2.0,Unclassified,99
Jahan Dotson,WR,26.3,1649,3965.0,2343.8,8.389610290527344,4.0,Unclassified,99
Andrei Iosivas,WR,26.7,1633,3345.1,2146.6,7.077906131744385,3.0,Unclassified,99
Garrett Nussmeier,QB,,1630,489.0,1287.7,0.0,0.0,Unclassified,99
Marquise Brown,WR,29.1,1623,5262.5,2714.8,11.13499927520752,3.0,Unclassified,99
Xavier Hutchinson,WR,26.1,1620,1910.0,1707.0,4.041414260864258,3.0,Unclassified,99
Eli Raridon,TE,22.4,1618,485.4,1278.2,0.0,0.0,Unclassified,99
Will Shipley,RB,23.8,1614,820.8,1376.0,1.9181818962097168,1.0,Unclassified,99
Spencer Rattler,QB,25.8,1597,4954.1,2604.1,12.225177764892578,2.0,Unclassified,99
Roman Wilson,WR,25.0,1570,2741.1,1921.3,5.799999713897705,1.0,Unclassified,99
Tutu Atwell,WR,26.7,1561,3338.3,2094.2,7.063511371612549,3.0,Unclassified,99
Najee Harris,RB,28.3,1557,5192.0,2647.5,12.134182929992676,3.0,Unclassified,99
Jordan Whittington,WR,25.7,1557,2669.7,1890.8,5.648809432983398,2.0,Unclassified,99
Brenen Thompson,WR,22.9,1542,462.6,1218.2,0.0,0.0,Unclassified,99
Joshua Palmer,WR,26.8,1540,4486.4,2423.9,9.492777824401855,4.0,Unclassified,99
Jimmy Horn,WR,23.8,1536,1356.4,1482.1,2.869999885559082,1.0,Unclassified,99
KeAndre Lambert-Smith,WR,24.7,1520,456.0,1200.8,0.0,0.0,Unclassified,99
Jerome Ford,RB,26.8,1518,3601.6,2143.1,8.417327880859375,3.0,Unclassified,99
Darius Slayton,WR,29.5,1514,4158.9,2307.5,8.799832344055176,4.0,Unclassified,99
Noah Gray,TE,27.2,1497,3223.5,2015.0,5.172560214996338,4.0,Unclassified,99
Audric Estime,RB,22.8,1494,1602.9,1526.7,3.7461538314819336,1.0,Unclassified,99
Isaac Guerendo,RB,26.0,1491,4116.2,2278.6,9.619999885559082,1.0,Unclassified,99
Roschon Johnson,RB,25.4,1483,2836.1,1888.9,6.62833309173584,2.0,Unclassified,99
Damien Martinez,RB,22.4,1483,444.9,1171.6,0.0,0.0,Unclassified,99
Treylon Burks,WR,26.3,1471,2808.9,1872.4,5.943307876586914,3.0,Unclassified,99
Mike Gesicki,TE,30.7,1462,4702.7,2434.2,7.5461106300354,4.0,Unclassified,99
Devaughn Vele,WR,28.5,1452,3838.0,2167.8,8.120833396911621,2.0,Unclassified,99
Daniel Bellinger,TE,25.8,1442,3488.1,2055.8,5.597136974334717,4.0,Unclassified,99
John Metchie,WR,26.0,1439,2369.2,1718.1,5.0130228996276855,3.0,Unclassified,99
Calvin Austin III,WR,27.3,1428,2866.6,1859.6,6.065395355224609,3.0,Unclassified,99
Jaleel McLaughlin,RB,25.8,1427,2295.6,1687.6,5.36514139175415,3.0,Unclassified,99
Bryce Lance,WR,23.8,1411,423.3,1114.7,0.0,0.0,Unclassified,99
Devontez Walker,WR,25.0,1405,421.5,1109.9,0.0,0.0,Unclassified,99
Noah Fant,TE,28.6,1401,4465.6,2320.4,7.1657328605651855,4.0,Unclassified,99
