name,position,nfl_team,age,owner,on_taxi,KTC Value,multi_year_prod_score,combined_score,avg_ppg,n_seasons,tier,tier_rank,is_my_team
Kevin Coleman,WR,MIA,22,GiantHawkTua,True,1733.0,519.9,1369.1,0.0,0.0,Jag Developmental,10,False
Chris Godwin,WR,TB,30,GiantHawkTua,False,2925.0,7397.3,4266.7,15.652146339416504,4.0,Serviceable,9,False
Michael Wilson,WR,ARI,26,GiantHawkTua,False,3629.0,4984.0,4035.5,10.545692443847656,3.0,Mainstay,4,False
Breece Hall,RB,NYJ,25,GiantHawkTua,False,5375.0,6936.0,5843.3,16.21013641357422,4.0,Mainstay,4,False
Jonathan Taylor,RB,IND,27,GiantHawkTua,False,6009.0,7746.5,6530.2,18.104228973388672,4.0,Foundational,2,False
Carson Beck,QB,ARI,23,GiantHawkTua,False,1797.0,539.1,1419.6,0.0,0.0,Replaceable,12,False
Marvin Harrison,WR,ARI,23,nchernandez19,False,4999.0,5634.1,5189.5,11.921306610107422,2.0,Upside Premier,3,False
Eli Heidenreich,RB,PIT,22,nchernandez19,True,1131.0,339.3,893.5,0.0,0.0,Jag Developmental,10,False
Geno Smith,QB,NYJ,35,nchernandez19,False,2224.0,6902.9,3627.7,17.034099578857422,4.0,Short-term Production,8,False
Dontayvion Wicks,WR,PHI,24,nchernandez19,False,2383.0,3716.6,2783.1,7.864065647125244,3.0,Jag Insurance,11,False
Jayden Reed,WR,GB,26,nchernandez19,False,3476.0,5663.0,4132.1,11.982353210449219,3.0,Serviceable,9,False
Tucker Kraft,TE,GB,25,nchernandez19,False,4881.0,6734.6,5437.1,10.8066987991333,3.0,Foundational,2,False
Jordan Love,QB,GB,27,nchernandez19,False,5562.0,6954.8,5979.8,17.16217041015625,3.0,Foundational,2,False
Romeo Doubs,WR,NE,26,nchernandez19,False,3210.0,5241.0,3819.3,11.089615821838379,4.0,Mainstay,4,False
Brock Bowers,TE,LV,23,nchernandez19,False,8079.0,9338.4,8456.8,14.984804153442383,2.0,Cornerstone,1,False
Jameson Williams,WR,DET,25,nchernandez19,False,4697.0,5662.2,4986.6,11.980793952941895,3.0,Foundational,2,False
Bryce Lance,WR,NO,23,nchernandez19,True,1218.0,365.4,962.2,0.0,0.0,Replaceable,12,False
Taylen Green,QB,CLE,23,nchernandez19,True,874.0,262.2,690.5,0.0,0.0,Replaceable,12,False
RJ Harvey,RB,DEN,25,nchernandez19,False,3432.0,5136.8,3943.4,12.005263328552246,1.0,Upside Shot,7,False
Bijan Robinson,RB,ATL,24,nchernandez19,False,9999.0,8027.4,9407.5,18.760784149169922,3.0,Cornerstone,1,False
Dalton Schultz,TE,HOU,29,nchernandez19,False,2241.0,6758.1,3596.1,10.84445858001709,4.0,Mainstay,4,False
Gunnar Helm,TE,TEN,23,nchernandez19,False,2686.0,3571.7,2951.7,5.731250286102295,1.0,Serviceable,9,False
MarShawn Lloyd,RB,GB,25,nchernandez19,False,1982.0,594.6,1565.8,0.0,0.0,Jag Insurance,11,False
C.J. Stroud,QB,HOU,24,nchernandez19,False,4823.0,6433.0,5306.0,15.874587059020996,3.0,Upside Shot,7,False
Luke McCaffrey,WR,WAS,25,nchernandez19,False,1693.0,2689.2,1991.9,5.690151214599609,2.0,Replaceable,12,False
Jaydon Blue,RB,DAL,22,nchernandez19,False,2056.0,616.8,1624.2,0.0,0.0,Jag Developmental,10,False
Woody Marks,RB,HOU,25,nchernandez19,False,2786.0,3943.6,3133.3,9.216666221618652,1.0,Upside Shot,7,False
Keon Coleman,WR,BUF,23,nchernandez19,False,2483.0,3748.0,2862.5,7.930476188659668,2.0,Upside Shot,7,False
AJ Barner,TE,SEA,24,nchernandez19,False,2764.0,4336.5,3235.8,6.958571434020996,2.0,Serviceable,9,False
Jordan James,RB,SF,22,nchernandez19,False,2134.0,640.2,1685.9,0.0,0.0,Jag Developmental,10,False
Zachariah Branch,WR,ATL,22,nchernandez19,False,2698.0,809.4,2131.4,0.0,0.0,Jag Developmental,10,False
Jalen McMillan,WR,TB,24,sethfriedman12,False,2954.0,5144.2,3611.1,10.884614944458008,1.0,Serviceable,9,False
Michael Pittman,WR,PIT,28,sethfriedman12,False,3360.0,6460.5,4290.2,13.669975280761719,4.0,Serviceable,9,False
Mason Taylor,TE,NYJ,22,sethfriedman12,False,2378.0,4165.8,2914.3,6.684615612030029,1.0,Upside Shot,7,False
Kaytron Allen,RB,WAS,23,sethfriedman12,True,2549.0,764.7,2013.7,0.0,0.0,Jag Developmental,10,False
